,Tranche d'âge,En écoutant la radio ou des podcast,En regardant la TV (replay ou direct),En lisant un journal ou magazine,En vous connectant directement sur un site internet,En utilisant un moteur de recherche,En utilisant un portail d'actualité,En consultant les réseaux sociaux,En consultant les plateformes vidéo en ligne,Mode principal d'information
2691,35-44 ans,Au moins une fois par semaine,Moins souvent,Moins souvent,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
2692,25-34 ans,Jamais,Jamais,Au moins une fois par jour,Jamais,Au moins une fois par jour,Jamais,Jamais,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2693,15-17 ans,Au moins une fois par jour,Au moins une fois par jour,Jamais,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2694,25-34 ans,Jamais,Jamais,Jamais,Jamais,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2695,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
2696,60-69 ans,Jamais,Jamais,Jamais,Jamais,Au moins une fois par mois,Moins souvent,Jamais,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
2697,70 ans et +,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Jamais,Jamais,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2698,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2699,45-59 ans,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Jamais,Moins souvent,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2700,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2701,15-17 ans,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2702,15-17 ans,Jamais,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Moins souvent,Au moins une fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2703,70 ans et +,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2704,25-34 ans,Jamais,Au moins une fois par mois,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2705,45-59 ans,Moins souvent,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2706,60-69 ans,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par semaine,Moins souvent,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2707,60-69 ans,Jamais,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par semaine,Moins souvent,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2708,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2709,25-34 ans,Au moins une fois par jour,Jamais,Moins souvent,Moins souvent,Au moins une fois par jour,Jamais,Au moins une fois par jour,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
2710,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
2711,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Au moins une fois par jour,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2712,70 ans et +,Moins souvent,Au moins une fois par semaine,Moins souvent,Jamais,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2713,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Jamais,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2714,35-44 ans,Jamais,Jamais,Jamais,Jamais,Au moins une fois par mois,Jamais,Moins souvent,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
2715,25-34 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2716,35-44 ans,Au moins une fois par semaine,Jamais,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2717,18-24 ans,Jamais,Au moins une fois par jour,Jamais,Jamais,Plusieurs fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2718,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Moins souvent,Au moins une fois par mois,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2719,45-59 ans,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2720,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2721,35-44 ans,Jamais,Au moins une fois par jour,Moins souvent,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
2722,60-69 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2723,18-24 ans,Jamais,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Moins souvent,Moins souvent,Au moins une fois par mois,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
2724,25-34 ans,Moins souvent,Au moins une fois par semaine,Au moins une fois par mois,Jamais,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2725,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par jour,Moins souvent,Jamais,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2726,60-69 ans,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
2727,35-44 ans,Plusieurs fois par jour,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Plusieurs fois par jour,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2728,45-59 ans,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Jamais,Au moins une fois par jour,Moins souvent,Jamais,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
2729,25-34 ans,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Jamais,Au moins une fois par jour,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2730,35-44 ans,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par semaine,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2731,35-44 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,Moins souvent,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2732,25-34 ans,Jamais,Jamais,Jamais,Jamais,Jamais,Au moins une fois par semaine,Au moins une fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2733,35-44 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
2734,45-59 ans,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par mois,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2735,60-69 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2736,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Moins souvent,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2737,45-59 ans,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2738,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2739,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2740,15-17 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2741,25-34 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
